interval_id,participant_id,video_id,start_timestamp,end_timestamp,middle_noun
PVBrMUucnF,P27,P27_07,0:14:39.350000,0:14:42.350000,10
RSLwPJeIsg,P21,P21_01,0:08:56.810000,0:08:59.810000,10
SOOlPsyjYI,P35,P35_104,0:22:11.760000,0:22:14.760000,10
NHqpihNYPO,P22,P22_10,0:11:21.020000,0:11:24.020000,10
pqlajLGeVQ,P35,P35_104,0:01:09.760000,0:01:12.760000,10
sWQzvBHHwh,P03,P03_119,0:01:14.040000,0:01:17.040000,10
fkWhgkMdcc,P26,P26_19,0:00:38.300000,0:00:41.300000,10
PNztIEoWLj,P02,P02_09,0:04:38.230000,0:04:41.230000,10
HeTqxGPAPx,P22,P22_16,0:24:10.960000,0:24:13.960000,10
RCDNQxphwF,P27,P27_101,0:05:28.280000,0:05:31.280000,10
aqZEQCLsYB,P35,P35_104,0:32:50.760000,0:32:53.760000,10
FoiWBMriym,P22,P22_16,0:21:33.960000,0:21:36.960000,10
pORMroCwWg,P35,P35_104,0:01:01.760000,0:01:04.760000,10
thVUcYxGJE,P35,P35_104,0:01:32.760000,0:01:35.760000,10
GOmshmDfOV,P27,P27_104,0:13:54.340000,0:13:57.340000,10
SEQNwaGuzK,P02,P02_09,0:31:46.230000,0:31:49.230000,10
yHgaaUmqta,P27,P27_104,0:12:47.340000,0:12:50.340000,10
lLalmoBQlB,P01,P01_19,0:03:13.570000,0:03:16.570000,10
MQdqxWSzaw,P02,P02_118,0:10:54.240000,0:10:57.240000,10
BZVczHwfcm,P15,P15_08,0:04:50.220000,0:04:53.220000,10
lFyxZdNrii,P30,P30_113,0:03:52.360000,0:03:55.360000,10
tvUBgDHuRV,P35,P35_107,0:01:19.190000,0:01:22.190000,10
MUXkQIZyKE,P03,P03_108,0:00:08.090000,0:00:11.090000,10
wEjbLyLBvw,P30,P30_107,0:25:10,0:25:13,10
JFtUKNXpte,P22,P22_107,0:09:07.570000,0:09:10.570000,10
wnQafIWUJO,P27,P27_103,0:39:43.350000,0:39:46.350000,10
cjtAUyfLCV,P03,P03_109,0:10:34.190000,0:10:37.190000,10
lzcnEmLefF,P35,P35_107,0:10:21.190000,0:10:24.190000,10
IjzGZhudBZ,P27,P27_103,0:38:03.350000,0:38:06.350000,10
MFkKbSBqki,P08,P08_04,0:00:25.320000,0:00:28.320000,10
gSQEmcicUk,P02,P02_120,0:11:25.330000,0:11:28.330000,10
ymGtrlLgJr,P22,P22_17,0:11:39.280000,0:11:42.280000,10
HbGQcgWFCd,P15,P15_08,0:03:58.220000,0:04:01.220000,10
URlBxnisiu,P26,P26_19,0:05:21.300000,0:05:24.300000,10
ZeLfgkUeEq,P35,P35_104,0:14:26.760000,0:14:29.760000,10
eMxPYcJcFr,P35,P35_104,0:14:29.760000,0:14:32.760000,10
NEKYHpHWdJ,P03,P03_04,0:20:01.240000,0:20:04.240000,10
KcPzuBSiqD,P07,P07_111,0:00:29.210000,0:00:32.210000,10
ZXRpbNFKtI,P30,P30_104,0:03:59,0:04:02,10
mZdRUpDlsI,P27,P27_103,0:38:28.350000,0:38:31.350000,10
QXGNBbgZEW,P15,P15_08,0:03:18.220000,0:03:21.220000,10
FhYLESJhEG,P02,P02_119,0:00:08.120000,0:00:11.120000,10
WSpQvLpvnw,P27,P27_103,0:02:28.350000,0:02:31.350000,10
OKcTuGtZfD,P22,P22_115,0:01:05.620000,0:01:08.620000,10
ljgfaVkXeX,P27,P27_103,0:37:52.350000,0:37:55.350000,10
jOnGPahVPB,P22,P22_17,0:08:09.280000,0:08:12.280000,10
GKMtbiHMeI,P29,P29_01,0:15:21.660000,0:15:24.660000,10
HCrnfLbAFp,P35,P35_108,0:08:35.820000,0:08:38.820000,10
